german,bengali
stimmt,অধিকার
Kerl,লোক
letzte,সর্বশেষ
Job,কাজ
verloren,নিখোঁজ
wurden,ছিল
kenne,জানা
Ahnung,ধারণা
seiner,তার
Grund,কারণ
toll,মহান
Verdammt,অভিশাপ
bald,শীঘ্রই
bereit,প্রস্তুত
all,Alles
jemanden,কেউ
hinter,পিছনে
Schon,নিস
Sehr,খুব
Hand,হাত
darf,may
Dieser,এই
Frauen,নারী
Euch,তোমাকে
Idee,ধারণা
runter,নিচে
Macht,ক্ষমতা
draußen,বাহিরে
lang,দীর্ঘ
Land,দেশ
lass,দিন
Typ,আদর্শ
hätten,ছিল
egal,কোনো ব্যাপার না
arbeiten,কাজ
spät,বিলম্বে
stehen,থাকা
ok,ঠিক আছে
Gute,গুণ
gekommen,এল
Bei,এ
etwa,আন্দাজ
essen,খাওয়া
kleine,ছোট
jeder,সবাই
Schwester,বোন
Wasser,পানি
Geschichte,গল্প
seinem,তার
liegt,মিথ্যা
sah,করাত
Mom,মা
Seite,পৃষ্ঠা
wenig,সামান্য
ruhig,শান্ত
Frage,প্রশ্ন
meinst,গড়
überhaupt,এ সব
fahren,ড্রাইভ
Ganz,সব
Gehen,ওয়াক
Essen,খাওয়া
Ruhe,শান্ত
echt,বাস্তব
versucht,চেষ্টা
Tochter,কন্যা
Kommt,আসে
Einen,একটি
ging,গিয়েছিলাম
Jahr,বছর
braucht,প্রয়োজন
fast,প্রায়
neue,নতুন
geh,যাওয়া
ziemlich,পুরোপুরি
anders,বিভিন্ন
siehst,দেখা
Polizei,পুলিশ
Stunden,ঘন্টার
musste,ছিল
Spiel,খেলা
gewesen,হয়েছে
gerne,আনন্দের সাথে
finde,অনুসন্ধান
erzählt,বলে
Tod,মরণ
Ort,জায়গা
Chance,সুযোগ
bedeutet,মানে
War,ছিল
sag,বলে
sagst,বলে
fragen,জিজ্ঞাসা করা
letzten,গত
sogar,এমন কি
ersten,প্রথম
Sachen,জিনিসপত্র
Wahrheit,সত্য
einzige,একক
kurz,সংক্ষিপ্ত
denen,ওগুলো
Kommen,আসা
Spaß,মজা
Nach,পরে
oben,উপরে
Mama,মমি
schwer,ভারী
Schule,বিদ্যালয়
je,চিরকাল
eben,মাত্র
Gesicht,মুখ
bestimmt,নিশ্চয়ই
treffen,দেখা করা
niemand,কেউ না
Woche,সপ্তাহ
Entschuldigung,দুঃখিত
Sorgen,যত্নে
warte,অপেক্ষার
natürlich,স্বাভাবিকভাবে
schlecht,খারাপ
große,আয়তন
getötet,নিহত
verstehen,বোঝা
hoffe,আশা
Ah,অই
Sei,থাকা
Zimmer,ঘর
hoch,উচ্চ
unserer,আমাদের
Tage,দিন
Teil,অংশ
Wann,কখন
suchen,অনুসন্ধান
verlassen,ছুটি
zeigen,প্রদর্শন
wollten,চেয়েছিলেন
lässt,পাতার
Wort,শব্দ
eins,এক
zwischen,মধ্যে
Woher,কোথা থেকে
Schatz,ধন
Wissen,জ্ঞান
versuchen,প্রয়াস
Können,করতে পারা
Kannst,করতে পারা
nett,সদয়
Zu,প্রতি
kriegen,প্রাপ্ত করুন
Geht,চালু
Arsch,গাধা
kleinen,ছোট
Hab,HAB
weiss,সাদা
erste,প্রথম
läuft,চলমান
kommst,আসছে
Freundin,বান্ধবী
Mensch,মানুষ
beiden,উভয়
Ding,জিনিস
niemals,কোনভাবেই না
endlich,পরিশেষে
Nimm,গ্রহণ করা
muß,করতে হবে
gehst,চালু
Heute,আজ
denkst,মনে
Herz,হৃদয়
Waffe,অস্ত্র
Soll,উচিত
tust,করা
Dollar,ডলার
nehme,গ্রহণ করা
Schau,প্রদর্শনী
holen,আনতে
oft,প্রায়ই
drauf,এটা
anderes,অন্যান্য
unten,নিচে
Wagen,সাহস
Yeah,হাঁ
Schön,নিস
wichtig,গুরুত্বপূর্ণ
Mrs,জনাবা
hättest,ছিল
allen,সব
Miss,হারানো
ihrer,তাদের
gedacht,চিন্তার
Nummer,সংখ্যা
würdest,হায়
erzählen,বলা
bleibt,দেহাবশেষ
Auch,এছাড়াও
Hände,হাত
Blut,রক্ত
Sehen,দেখা
bloß,মাত্র
recht,আইন
bringt,এনেছে
Bett,বিছানা
Lassen,যাক
Eltern,বাবা
gefällt,মত
Schuld,দোষ
eure,তোমার
Plan,পরিকল্পনা
Krieg,যুদ্ধ
neuen,নতুন
Klar,পরিষ্কার
retten,উদ্ধার
guter,পণ্য
während,যখন
ihrem,তাদের
wären,হায়
Fehler,ত্রুটি
scheint,মনে হয়
Lasst,পত্রাদি
gegeben,প্রদত্ত
An,এ
hör,শোনা
glücklich,সুখী
verdammt,জঘন্য
alt,পুরাতন
Platz,জায়গা
darum,অতএব
Vielen,অনেকটা
falsch,সঠিক না
unseren,আমাদের
schlafen,ঘুম
nächsten,পরবর্তী
fünf,পাঁচ
frei,বিনামূল্যে
Sorge,চিন্তা করবেন না
Vor,সামনে
fest,দৃঢ়রূপে
bereits,ইতিমধ্যে
alleine,একা
Denn,কারণ
Zwei,দুই
Fragen,জিজ্ঞাসা করা
möglich,সম্ভব
irgendwie,একরকম
Papa,পিতা
lernen,শেখা
gestern,গতকাল
hierher,এখানে
Schiff,জাহাজ
vier,চার
irgendwas,কিছু
Stimmt,অধিকার
Menge,পরিমাণ
keiner,না
brauchst,প্রয়োজন
Typen,ধরনের
Dass,যে
Stunde,ঘন্টা
Szene,দৃশ্য
Hölle,জাহান্নাম
einige,কিছু
Deshalb,এই জন্য
geworden,পরিণত
Telefon,ফোন
Feuer,আগুন
Wollen,প্রয়োজন
Bin,টা
Alter,বয়স
Captain,অধিনায়ক
Aus,আউট
Dieses,এই
Probleme,সমস্যা
Jeder,সবাই
verstanden,বোঝা
wann,কখন
alten,পুরাতন
gibt's,সেখানে
sondern,বরং
guten,ভাল
zwar,যদিও
eigenen,নিজের
New,নতুন
Körper,শরীর
hört,শুনতে পায়
Zum,থেকে
gebe,দিতে
Kumpel,শহরবাসী
Hund,কুকুর
nochmal,আরেকবার
hab's,বুঝেছি
früh,গোড়ার দিকে
Hören,শোনা
trinken,পান করা
besten,সেরা
meines,খনি
schaffen,সৃষ্টি
alte,পুরাতন
Luft,বায়ু
Jemand,কেউ
Meister,মনিব
Erde,পৃথিবী
Seit,থেকে
Sicher,নিশ্চিত
Hört,শোনা
Zukunft,ভবিষ্যৎ
kaum,সবে
funktioniert,কাজ
voll,সম্পূর্ণ
Bleib,থাকা
reicht,যথেষ্ট
weh,কালশিটে
stellen,করা
Siehst,দেখা
kleiner,ক্ষুদ্রতর
großen,বিপুল
Waffen,অস্ত্রশস্ত্র
Büro,দপ্তর
Wahl,পছন্দ
verlieren,হারান
Wochen,সপ্তাহ
Damit,জন্য
Stück,টুকরা
lieben,ভালবাসা
allem,সব
getroffen,মিলিত
äh,উম
Am,এ
geschafft,প্রণীত
tue,করা
gefallen,মত
Tja,আমরা হব
Boss,মনিব
überall,সব শেষ
Sieht,সৌন্দর্য
passieren,ঘটা
lustig,হাস্যকর
Licht,আলো
gebracht,আনীত
nennen,কল
Folge,উপাখ্যান
Gefühl,অনুভূতি
völlig,সম্পূর্ণরূপে
denkt,মনে
Schlüssel,মূল
drüben,ওখানে
Richtig,ঠিক
wieso,তা কেমন করে
Leuten,সম্প্রদায়
Buch,বই
laufen,চালানোর জন্য
spielt,নাটক
früher,পূর্বে
Sein,থাকা
krank,অসুস্থ
gegangen,গিয়েছিলাম
fand,পাওয়া
Seine,তার
Pass,পাসপোর্ট
fühle,অনুভব করা
Himmel,আকাশ
froh,আনন্দিত
leicht,আলো
direkt,সরাসরি
langsam,ধীরে ধীরে
wolltest,চেয়েছিলেন
erinnern,প্রত্যাহার
zuerst,প্রথম
Krankenhaus,হাসপাতাল
Viel,অনেক
beste,সেরা
welche,যেটি
genommen,গ্রহণ
Arzt,ডাক্তার
unserem,আমাদের
Idiot,নির্বোধ
Machen,ডু
glaubst,মনে
jede,প্রতি
Ohne,বিনা
groß,বৃহৎ
hattest,ছিল
Äh,উম
Jungen,বয়েজ
Rest,বিশ্রাম
Unsere,আমাদের
versuche,চেষ্টা
Tagen,সম্মেলন
nächste,পরবর্তী
Entschuldigen,ক্ষমা চাইতে
Doktor,ডাক্তার
spricht,কথা বলে
könnt,করতে পারা
hält,রাখে
Team,টীম
Verstanden,বোঝা
kämpfen,যুদ্ধ
heiraten,বিবাহ করা
könntest,পারা
Wow,কি দারুন
Etwas,কিছু
Straße,রাস্তা
Mist,অভিশাপ
König,রাজা
redest,কোন কিছু সম্বন্ধে কথা বলা
kleines,ছোট
lebt,জীবন
erklären,ব্যাখ্যা করতে
worden,হয়েছে
Millionen,লক্ষ লক্ষ
Wiedersehen,আবার দেখা হবে
Onkel,চাচা
kennst,জানা
sitzen,বসা
dies,এই
weniger,কম
Kaffee,কফি
ernst,গুরুতর
wollt,প্রয়োজন
tragen,পরিধান
Zeug,জিনিসপত্র
trotzdem,তবু
Ihren,তাদের
kaufen,কেনার জন্য
Liste,তালিকা
ändern,পরিবর্তন করতে
Kampf,সংগ্রাম
hasse,ঘৃণা
Person,ব্যক্তি
Mund,মুখ
umbringen,হত্যা
Präsident,সভাপতি
Boden,স্থল
Wohin,কোথায়
machte,প্রণীত
Party,পার্টি
gefragt,জিজ্ঞাসা
Seht,লুক
irgendwo,কোথাও
kümmern,যত্ন নিতে
kennt,জানে
verletzt,আহত
Habt,আছে
Nachricht,বার্তা
Willkommen,স্বাগত
vielen,অনেকটা
hart,কঠিন
lasse,ছুটি
total,মোট
außer,ছাড়া
Sicherheit,নিরাপত্তা
Schnell,দ্রুত
wem,যাদের
ehrlich,সত্
interessiert,আগ্রহী
Sex,লিঙ্গ
sagten,বললেন
ziehen,টান
Welche,যেটি
Unser,আমাদের
Augenblick,মুহূর্ত
angerufen,নামক
aufhören,স্টপ
Klasse,মহান
Bild,ছবি
stark,প্রবলভাবে
Dies,এই
Eure,তোমার
zehn,দশ
Sinn,ইন্দ্রিয়
vorstellen,পরিচয় করিয়ে দিতে
Traum,স্বপ্ন
länger,আর
manchmal,কখনও কখনও
anrufen,কল
sechs,ছয়
Arschloch,asshole পর্ণ
sollst,তোমাকে
gestorben,মারা যান
Tages,দিন
war's,এটা ছিল
verschwinden,অদৃশ্য
Kraft,বল
gesprochen,উচ্চারিত
heraus,আউট
genauso,এমনি
wärst,'ঘ
Eins,এক
damals,তখন
heißen,ডাকা হবে
Liebling,প্রিয়
wahrscheinlich,সম্ভবত
deshalb,এই জন্য
Stelle,কাজ
halt,স্টপ
erwartet,প্রত্যাশিত
solche,এমন
meisten,সবচেয়ে
bringe,আনা
still,শান্ত
umgebracht,নিহত
Stimme,কণ্ঠস্বর
General,সাধারণ
Geben,দিন
Entschuldige,মাফ করবেন
Vergiss,ভুলবেন
rede,বক্তৃতা
führen,নেতৃত্ব
Bewegung,পদক্ষেপ
höre,শোনা
Sonst,অন্যভাবে
Geschäft,ব্যবসায়
werdet,ইচ্ছাশক্তি
konnten,পারা
wartet,ওয়েটিং
Raus,আউট
